"FARM","year","Plot","Size","TYPE_clean","plantID","totalBasal","AGM_kg"
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_164",2.03583057934253,0.539894089388491
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_165",3.94081382466304,0.880532621558954
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_166",2.04140690630265,0.540988914473524
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_167",1.0028749148422,0.319578736865935
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_168",1.30698108370969,0.388833401259513
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_169",1.93592793295837,0.520145266401736
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_170",0.516006593352124,0.195365106336367
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_172",1.13097335529233,0.349334394379406
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_173",1.34782178820636,0.397795923704933
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_174",0.541060794764502,0.202346900242622
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_175",0.95127425550699,0.307317826435433
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_176",2.03583057934253,0.539894089388491
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_177",0.407150407905237,0.163922654820816
"ADJUCP",2023,"Plot 2","10x10","Co","ADJUCP_23_1283",4.1547562843725,0.915691865331374
"ADJUCP",2023,"Plot 2","10x10","Co","ADJUCP_23_1285",4.59308699936462,0.986300467669791
"ADJUCP",2023,"Plot 2","10x10","Co","ADJUCP_23_1286",2.11240690027378,0.554861757446981
"ADJUCP",2023,"Plot 2","10x10","Co","ADJUCP_23_1287",2.80120108957334,0.683845034669747
"ADJUCP",2023,"Plot 2","10x10","Co","ADJUCP_23_1289",4.79846861909305,1.01877703926386
"ADJUCP",2023,"Plot 2","10x10","Co","ADJUCP_23_1290",0.785398163397448,0.266660129315032
"ADJUCP",2023,"Plot 2","10x10","Co","ADJUCP_23_1292",1.74366246255867,0.481372843626052
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1295",1.62860163162095,0.457640665703927
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1296",1.47411381288067,0.425077961736616
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1297",1.51746779150021,0.434301778183116
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1298",0.6647610054996,0.23567885265501
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1300",0.407150407905237,0.163922654820816
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1302",0.899202357273739,0.294768680176456
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1304",0.708821842466197,0.247150953069299
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1305",0.594467869875529,0.216957167550205
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1307",0.650388219109427,0.231894365115612
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1308",0.528101725068444,0.198746350915625
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1309",0.899202357273739,0.294768680176456
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1310",0.24630086404144,0.112972877577217
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1311",0.899202357273739,0.294768680176456
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1312",637.947512201211,38.0959012096375
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1313",1.79078635236252,0.490974277498466
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1314",0.441786466911065,0.174140115718618
"ADJUCP",2023,"Plot 3","10x10","Co","ADJUCP_23_1315",0.515299735005066,0.195166869186592
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_231",14.5570407993063,2.31753582621001
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_232",46.1847892198726,5.44982370221478
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_233",1.57700097228574,0.446857312889524
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_234",1.82879962347096,0.498671732188416
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_235",0.55417694409324,0.20596838509349
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_236",8.60246608369225,1.56977095828667
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_237",2.12748654501101,0.557792522099833
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_238",12.6591261374564,2.08975185616633
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_252",4.95743320736469,1.04366653552449
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_257",3.2939598972889,0.7710396250689
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_258",2.30451529104079,0.591808184015073
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_259",0.188574099031727,0.0926993137569339
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_260",12.785025463049,2.10512419221764
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_261",8.46133003372973,1.55065638710196
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_262",8.94238640881067,1.61547756506626
"JAYU2/3",2022,"Plot 1","10x10","Co","JAYU2/3_22_263",7.45986883558164,1.41253507161257
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_116",10.0402159616076,1.76013275658152
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_117",2.65032610238469,0.656371916502397
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_122",6.87042751395186,1.32899911996462
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_123",15.9472740883362,2.4794999876699
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_125",4.76720977218983,1.01385776607324
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_126",4.79854715890939,1.01878938875767
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_127",3.58094438619433,0.820247894415256
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_128",22.241376429987,3.17221376283053
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_130",11.9449635874791,2.00178580141286
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_131",9.28065739778595,1.66051703218465
"UTUA16",2022,"Plot 1","10x10","Co","UTUA16_22_137",7.04667086181825,1.35416461061187
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_209",59.8152172660026,6.60026317706589
