"FARM","year","Plot","Size","plantID","TYPE","DBH_cm","basalA","gpsID","Notes","TYPE_clean"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",3.51,9.6761839128729,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",1.32,1.36847775990371,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",1.19,1.11220233918713,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1506","Co",3.46,9.40247265292889,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1506","Co",2.55,5.10705155749191,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1506","Co",3.25,8.29576810088555,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",3.68,10.6361760879936,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",1.45,1.65129963854314,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",1.51,1.79078635236252,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",1.03,0.833228911548353,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",1.24,1.20762821603992,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",0.8,0.502654824574367,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",3.87,11.7628297533872,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1507","Co",1.2,1.13097335529233,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1508","Co",4.61,16.6913603083389,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1508","Co",3.3,8.55298599939821,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1508","Co",1.57,1.93592793295837,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1508","Co",0.89,0.622113885227119,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1508","Co",1.75,2.40528187540469,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1509","Co",2.89,6.55972400051183,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1509","Co",4.94,19.166542620286,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1509","Co",2.98,6.9746498502347,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1510","Co",4.91,18.934457463002,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1510","Co",0.93,0.679290871522453,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1510","Co",3.26,8.34689752132272,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1510","Co",3.66,10.5208796376069,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1511","Co",2.74,5.89645525152268,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1511","Co",1.53,1.83853856069709,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1511","Co",1.54,1.86265028431339,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1511","Co",1.24,1.20762821603992,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1511","Co",1.14,1.02070345315132,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1511","Co",4.2,13.854423602331,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1511","Co",3.5,9.62112750161874,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1512","Co",3.94,12.1922069293166,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1512","Co",2.05,3.30063578167778,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1512","Co",3.61,10.2353874052119,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1512","Co",1.73,2.35061816323222,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1512","Co",3.18,7.94226038754036,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1512","Co",1.19,1.11220233918713,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1512","Co",0.64,0.321699087727595,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1513","Co",1.15,1.03868907109313,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1513","Co",2.45,4.71435247579318,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1513","Co",3.4,9.0792027688745,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",2.8,6.15752160103599,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",0.7,0.38484510006475,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",2.55,5.10705155749191,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",0.9,0.636172512351933,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",0.75,0.441786466911065,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",1.7,2.26980069221863,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",3.66,10.5208796376069,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",1.75,2.40528187540469,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",3.77,11.1627855565516,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",0.7,0.38484510006475,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",0.7,0.38484510006475,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1514","Co",0.55,0.237582944427728,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1515","Co",1.1,0.950331777710913,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1515","Co",1.98,3.07907495978336,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1515","Co",0.8,0.502654824574367,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1515","Co",2.25,3.97607820219958,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1515","Co",2.95,6.83492751696629,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1516","Co",1.15,1.03868907109313,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1516","Co",2.8,6.15752160103599,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1516","Co",3.05,7.30616641500476,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1516","Co",3.5,9.62112750161874,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1516","Co",1.34,1.41026094219646,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1516","Co",1.4,1.539380400259,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",0.82,0.528101725068444,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",1.55,1.88691908756237,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",1,0.785398163397448,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",3,7.06858347057703,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",0.7,0.38484510006475,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",0.9,0.636172512351933,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",1.5,1.76714586764426,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",3.68,10.6361760879936,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",1.7,2.26980069221863,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1517","Co",1.6,2.01061929829747,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1518","Co",2.84,6.33470742669846,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1518","Co",3.75,11.0446616727766,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1518","Co",3.3,8.55298599939821,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1518","Co",0.64,0.321699087727595,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1518","Co",0.68,0.36316811075498,NA,"","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",2.9,6.60519855417254,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",2,3.14159265358979,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",2.8,6.15752160103599,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",4.2,13.854423602331,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",1.6,2.01061929829747,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",2.1,3.46360590058275,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",3.2,8.04247719318987,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",2.2,3.80132711084365,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1519","Co",2.2,3.80132711084365,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",3.2,8.04247719318987,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",3.4,9.0792027688745,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.3,4.1547562843725,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",1.9,2.83528736986479,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.3,4.1547562843725,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.5,4.90873852123405,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.5,4.90873852123405,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.8,6.15752160103599,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",1.8,2.54469004940773,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.6,5.30929158456675,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.8,6.15752160103599,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",2.2,3.80132711084365,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",0.8,0.502654824574367,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",1.7,2.26980069221863,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1520","Co",1.2,1.13097335529233,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1521","Co",2.3,4.1547562843725,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1521","Co",1.8,2.54469004940773,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1521","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1522","Co",2.5,4.90873852123405,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1522","Co",3.2,8.04247719318987,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1522","Co",3.4,9.0792027688745,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1522","Co",2.1,3.46360590058275,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1522","Co",2.6,5.30929158456675,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1522","Co",2.6,5.30929158456675,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1522","Co",2.3,4.1547562843725,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1,0.785398163397448,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.7,2.26980069221863,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",2,3.14159265358979,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1,0.785398163397448,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.2,1.13097335529233,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",2.1,3.46360590058275,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.3,1.32732289614169,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",2.5,4.90873852123405,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",2.3,4.1547562843725,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.3,1.32732289614169,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.9,2.83528736986479,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.3,1.32732289614169,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",3,7.06858347057703,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1,0.785398163397448,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",2.3,4.1547562843725,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.2,1.13097335529233,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",2,3.14159265358979,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1.1,0.950331777710913,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",1,0.785398163397448,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1523","Co",2,3.14159265358979,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",2,3.14159265358979,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.4,1.539380400259,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.3,1.32732289614169,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.3,1.32732289614169,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.2,1.13097335529233,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.4,1.539380400259,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.8,2.54469004940773,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",2.2,3.80132711084365,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.2,1.13097335529233,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.8,2.54469004940773,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",2.3,4.1547562843725,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.5,1.76714586764426,NA,"Robusta","Co"
