"FARM","TYPE","DBH_cm","basalA"
"UTUA30","Co",0.73,0.4185386812745
"UTUA30","Co",1.15,1.03868907109313
"UTUA30","Co",1.01,0.801184666481737
"UTUA30","Co",1.39,1.51746779150021
"UTUA30","Co",0.99,0.769768739945839
"UTUA30","Co",0.98,0.75429639612691
"UTUA30","Co",0.88,0.608212337734984
"UTUA30","Co",1.61,2.03583057934253
"UTUA30","Co",1.35,1.43138815279185
"UTUA30","Co",1.06,0.882473376393373
"UTUA30","Co",0.79,0.490166993776348
"UTUA30","Co",1.75,2.40528187540469
"UTUA30","Ba",8.5,56.7450173054656
"UTUA30","Ba",6.5,33.1830724035422
"UTUA30","Ba",14,153.9380400259
"UTUA30","Co",1.62,2.06119894002026
"UTUA30","Co",0.69,0.373928065593525
"UTUA30","Co",2.22,3.87075630848798
"UTUA30","Co",2.25,3.97607820219958
"UTUA30","Co",1.08,0.916088417786784
"UTUA30","Co",1.21,1.1499014510302
"UTUA30","Co",1.93,2.92552961883916
"UTUA30","Co",1.67,2.19039693789914
"UTUA30","Co",0.9,0.636172512351933
"UTUA30","Co",1.08,0.916088417786784
"UTUA30","Ba",8.7,59.4467869875528
"UTUA30","Co",2.1,3.46360590058275
"UTUA30","Co",1.26,1.24689812420979
"UTUA30","Co",1.24,1.20762821603992
"UTUA30","Co",1.3,1.32732289614169
"UTUA30","Co",1.44,1.62860163162095
"UTUA30","Co",1.67,2.19039693789914
"UTUA30","Co",1.15,1.03868907109313
"UTUA30","Co",1.36,1.45267244301992
"UTUA30","Co",1.19,1.11220233918713
"UTUA30","Co",2.01,3.17308711994203
"UTUA30","Co",2.83,6.29017535083382
"UTUA30","Co",2.37,4.41150294398713
"UTUA30","Co",1.8,2.54469004940773
"UTUA30","Co",1.96,3.01718558450764
"UTUA30","Co",1.61,2.03583057934253
"UTUA30","Co",1.21,1.1499014510302
"UTUA30","Co",1.78,2.48845554090848
"UTUA30","Co",0.76,0.453645979178366
"UTUA30","Co",1.38,1.4957122623741
"UTUA30","Co",1.05,0.865901475145687
"UTUA16","Shrub",0.94,0.693977817177985
"UTUA16","Shrub",0.61,0.29224665660019
"UTUA16","Shrub",0.3,0.0706858347057703
"UTUA16","Ba",9.2,66.47610054996
"UTUA16","Ba",7.9,49.0166993776348
"UTUA16","Ba",11.3,100.28749148422
"UTUA16","Ba",7.9,49.0166993776348
"UTUA16","Ba",9.2,66.47610054996
"UTUA16","Ba",7,38.484510006475
"UTUA16","Co",1.69,2.24317569447945
"UTUA16","Co",1.17,1.07513154587477
"UTUA16","Co",1.6,2.01061929829747
"UTUA16","Co",0.69,0.373928065593525
"UTUA16","Co",2.35,4.33736135736241
"UTUA16","Co",1.56,1.91134497044403
"UTUA16","Co",0.97,0.738981131940659
"UTUA16","Ba",7.5,44.1786466911065
"UTUA16","tree",10.8,91.6088417786784
"UTUA16","Ba",10.9,93.3131557932508
"UTUA16","Ba",12.6,124.689812420979
"UTUA16","Co",2.38,4.44880935674851
"UTUA16","Co",0.83,0.541060794764502
"UTUA16","Co",1.5,1.76714586764426
"UTUA16","Co",0.38,0.113411494794592
"UTUA16","Co",2.21,3.83596316984948
"UTUA16","Co",2.34,4.30052618349907
